city,year,affordability_ratio
Köln,2024,0.2048782325676963
Dortmund,1980,0.2689866430714363
Dortmund,1981,0.3141897496475464
Dortmund,1982,0.2708413364225823
Dortmund,1983,0.28044780701642746
Dortmund,1984,0.2683734112611792
Dortmund,1985,0.2133385510814633
Dortmund,1986,0.20422051133881708
Dortmund,1987,0.19312755747571247
Dortmund,1988,0.18940375450605637
Dortmund,1989,0.2004677352501191
Dortmund,1990,0.2343469605452206
Dortmund,1991,0.24483319472951126
Dortmund,1992,0.2408729290296165
Dortmund,1993,0.24189328258687243
Dortmund,1994,0.24312604143705904
Dortmund,1995,0.2757176114432257
Dortmund,1996,0.2625812620343301
Dortmund,1997,0.2707974232456433
Dortmund,1998,0.2697696345411206
Dortmund,1999,0.26007605140752776
Dortmund,2000,0.2508402610351743
Dortmund,2001,0.23479976669036096
Dortmund,2002,0.24154876314600945
Dortmund,2003,0.2044791358845119
Dortmund,2004,0.18751516645415778
Dortmund,2005,0.19372532244880078
Dortmund,2006,0.17968221680622112
Dortmund,2007,0.18293232910610877
Dortmund,2008,0.15241906988463513
Dortmund,2009,0.1479251979933009
Dortmund,2010,0.14905352084062487
Dortmund,2011,0.16021584314897036
Dortmund,2012,0.1523188698503
Dortmund,2013,0.1672770825288977
Dortmund,2014,0.17280413132679026
Dortmund,2015,0.16859048618915742
Dortmund,2016,0.15994554743839348
Dortmund,2017,0.14137885714835927
Dortmund,2018,0.15775347975314985
Dortmund,2019,0.16812402804570778
Dortmund,2020,0.16146907975283767
Dortmund,2021,0.1776528290390661
Dortmund,2022,0.20312681147990733
Dortmund,2023,0.21969737975830075
Dortmund,2024,0.2112982848408086
Dortmund,1980,0.3362333038392954
Dortmund,1981,0.392737187059433
Dortmund,1982,0.3385516705282279
Dortmund,1983,0.35055975877053425
Dortmund,1984,0.3354667640764739
Dortmund,1985,0.26667318885182917
Dortmund,1986,0.25527563917352136
Dortmund,1987,0.24140944684464055
Dortmund,1988,0.23675469313257044
Dortmund,1989,0.250584669062649
Dortmund,1990,0.29293370068152574
Dortmund,1991,0.3060414934118891
Dortmund,1992,0.3010911612870207
Dortmund,1993,0.30236660323359044
Dortmund,1994,0.30390755179632384
Dortmund,1995,0.34464701430403205
Dortmund,1996,0.3282265775429126
Dortmund,1997,0.3384967790570542
Dortmund,1998,0.33721204317640063
Dortmund,1999,0.3250950642594097
Dortmund,2000,0.3135503262939679
Dortmund,2001,0.29349970836295125
Dortmund,2002,0.3019359539325117
Dortmund,2003,0.25559891985563993
Dortmund,2004,0.2343939580676972
Dortmund,2005,0.24215665306100095
Dortmund,2006,0.22460277100777634
Dortmund,2007,0.228665411382636
Dortmund,2008,0.1905238373557939
Dortmund,2009,0.18490649749162608
Dortmund,2010,0.18631690105078108
Dortmund,2011,0.20026980393621302
Dortmund,2012,0.190398587312875
Dortmund,2013,0.20909635316112213
Dortmund,2014,0.21600516415848778
Dortmund,2015,0.2107381077364467
Dortmund,2016,0.19993193429799183
Dortmund,2017,0.17672357143544906
Dortmund,2018,0.1971918496914373
Dortmund,2019,0.21015503505713473
Dortmund,2020,0.20183634969104708
Dortmund,2021,0.22206603629883262
Dortmund,2022,0.25390851434988415
Dortmund,2023,0.27462172469787594
Dortmund,2024,0.26412285605101077
Dortmund,1980,0.21036076370075477
Dortmund,1981,0.24571181278043633
Dortmund,1982,0.2118112249776523
Dortmund,1983,0.21932395671598415
Dortmund,1984,0.20988118631186173
Dortmund,1985,0.166841223117501
Dortmund,1986,0.1597104682896209
Dortmund,1987,0.1510352336396974
Dortmund,1988,0.14812303685690045
Dortmund,1989,0.15677561310498347
Dortmund,1990,0.18327083095405247
Dortmund,1991,0.1914715810216553
Dortmund,1992,0.18837445877210734
Dortmund,1993,0.18540779997893245
Dortmund,1994,0.18256888129322044
Dortmund,1995,0.20275159439312077
Dortmund,1996,0.19692283725867055
Dortmund,1997,0.2070356092232301
Dortmund,1998,0.21018588841429073
Dortmund,1999,0.20642794858359192
Dortmund,2000,0.20202520489524822
Dortmund,2001,0.1918469601738646
Dortmund,2002,0.20018078493934646
Dortmund,2003,0.17005644303930986
Dortmund,2004,0.15649543105314043
Dortmund,2005,0.16224357933989655
Dortmund,2006,0.1510069078114558
Dortmund,2007,0.15743944600661886
Dortmund,2008,0.13426218046213662
Dortmund,2009,0.13329647989866944
Dortmund,2010,0.13332732837429476
Dortmund,2011,0.14225222437630214
Dortmund,2012,0.13423318083317054
Dortmund,2013,0.13852912689914754
Dortmund,2014,0.15067624967492527
Dortmund,2015,0.1446928211152326
Dortmund,2016,0.13834902825121076
Dortmund,2017,0.12242445974944469
Dortmund,2018,0.13804917268673209
Dortmund,2019,0.1491099821318513
Dortmund,2020,0.1380088390149089
Dortmund,2021,0.1509650577886417
Dortmund,2022,0.16274150532125867
Dortmund,2023,0.1725442497730744
Dortmund,2024,0.16918058275929057
Dresden,1992,0.3455370363447083
Dresden,1993,0.38781217949302466
Dresden,1994,0.3882503272497639
Dresden,1995,0.3682889678081581
Dresden,1996,0.3241245529895782
Dresden,1997,0.29469966018015115
Dresden,1998,0.31732601959028855
Dresden,1999,0.27710809327516256
Dresden,2000,0.2990744779770461
Dresden,2001,0.2648913356458032
Dresden,2002,0.2737451876833391
Dresden,2003,0.26819019008362266
Dresden,2004,0.25067887506807823
Dresden,2005,0.2372215152373942
Dresden,2006,0.2184956136180617
Dresden,2007,0.23865525158640546
Dresden,2008,0.2346702667907498
Dresden,2009,0.23375771534943537
Dresden,2010,0.23353326476602818
Dresden,2011,0.22614024698734056
Dresden,2012,0.22167329577514708
Dresden,2013,0.21392766692334753
Dresden,2014,0.21991447292482116
Dresden,2015,0.2115055744608593
Dresden,2016,0.19332787810626934
Dresden,2017,0.1882640181859908
Dresden,2018,0.1829567055207529
Dresden,2019,0.18772952366603238
Dresden,2020,0.1947419003201548
Dresden,2021,0.22264354478807288
Dresden,2022,0.2554440772598549
